post_id,title,category,score,num_comments,author,collected_at
47762864,Backblaze has stopped backing up your data,technology,350,218,rrreese,2026-04-14 18:38:37
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,8,1,apollinaire,2026-04-14 18:38:46
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,59,22,tie-in,2026-04-14 18:38:48
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,42,3,adunk,2026-04-14 18:38:49
47708457,Rust Threads on the GPU,technology,92,28,PaulHoule,2026-04-14 18:38:56
47728970,"Write less code, be more responsible",technology,118,66,orhunp_,2026-04-14 18:38:58
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,80,26,mufeedvh,2026-04-14 18:39:00
47753689,Building a CLI for all of Cloudflare,technology,315,102,soheilpro,2026-04-14 18:39:05
47729046,Air Powered Segment Display? [video],technology,117,11,ProfDreamer,2026-04-14 18:39:06
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,132,32,galaxyLogic,2026-04-14 18:39:11
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 18:39:16
47750872,Servo is now available on crates.io,technology,456,147,ffin,2026-04-14 18:39:17
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,86,41,bookofjoe,2026-04-14 18:39:21
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,86,24,mfilion,2026-04-14 18:39:22
47761371,Bear Roll – Daily roll of Bear Blog's top posts,technology,7,0,freediver,2026-04-14 18:39:29
47759292,The AI revolution in math has arrived,technology,89,48,sonabinu,2026-04-14 18:39:30
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,264,108,dvaughan,2026-04-14 18:39:33
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,140,Anon84,2026-04-14 18:39:35
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,217,125,iamnothere,2026-04-14 18:39:43
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",technology,7,3,abhay_ramesh,2026-04-14 18:39:44
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,6,jenic_,2026-04-14 18:39:45
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,402,277,kiyanwang,2026-04-14 18:39:49
47761720,"Microsoft exec suggests AI agents will need to buy licenses, just like employees",technology,19,7,maxloh,2026-04-14 18:39:53
47764128,Mastodon gets Sovereign Tech Agency funding,technology,7,1,edent,2026-04-14 18:39:57
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,153,39,cvrajeesh,2026-04-14 18:40:44
47761825,Roblox devs now need a subscription to share their games freely,entertainment,59,60,hallole,2026-04-14 18:40:49
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,5,2,derstruct,2026-04-14 18:40:51
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,508,292,a-ve,2026-04-14 18:41:30
47757552,Show HN: Continual Learning with .md,entertainment,27,25,wenhan_zhou,2026-04-14 18:41:38
47741460,How long-distance couples use digital games to facilitate intimacy (2025),entertainment,129,38,radeeyate,2026-04-14 18:41:39
47724352,Filing the corners off my MacBooks,entertainment,1398,669,normanvalentine,2026-04-14 18:41:43
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 18:41:53
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,105,Rochus,2026-04-14 18:42:02
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,32,3,joe_mamba,2026-04-14 18:42:14
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,entertainment,625,152,iceberger2001,2026-04-14 18:42:25
47698111,Bevy game development tutorials and in-depth resources,entertainment,139,68,GenericCanadian,2026-04-14 18:42:53
47749295,Show HN: Equirect – a Rust VR video player,entertainment,13,1,greggman65,2026-04-14 18:42:59
47747248,"Haunt, the 70s text adventure game, is now playable on a website",entertainment,82,26,jscalo,2026-04-14 18:43:25
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 18:43:28
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 18:43:37
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 18:43:40
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 18:44:09
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 18:44:17
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 18:44:20
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 18:44:23
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 18:44:31
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 18:44:37
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 18:44:46
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 18:44:47
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,39,31,adulion,2026-04-14 18:44:58
47763185,An open letter to the UK Government on digital privacy,worldnews,8,0,vsajip,2026-04-14 18:45:55
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,21,0,isaacfrond,2026-04-14 18:46:48
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 18:47:24
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 18:47:43
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 18:48:32
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 18:49:55
47745230,Sam Altman's home targeted in second attack,worldnews,152,356,babelfish,2026-04-14 18:50:01
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 18:50:30
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 18:51:00
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 18:51:19
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 18:51:23
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 18:51:44
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 18:51:54
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 18:52:09
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 18:54:58
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 18:56:17
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 18:56:41
